periodo;ss;id_aforo;paradero
4;105I;21_PM_SO;T-8-63-NS-15
4;105I;23_PM_SO;T-7-51-NS-10
4;105I;17_PM_SO;T-28-233-NS-20
4;105I;38_PM_NO;L-29-7-10-NS
4;105R;15_PM_NO;T-29-238-SN-10
4;105R;16_PM_NO;T-29-238-SN-17
4;105R;18_PM_NP;E-7-51-SN-30
4;105R;19_PM_NP;T-5-26-SN-10
4;105R;20_PM_NP;T-5-33-OP-15
4;106IPM;531_PM_SO;T-13-99-NS-5
4;106IPM;532_PM_SO;T-13-104-PO-25
4;106IPM;533_PM_SO;T-13-104-PO-33
4;106IPM;234_PM_NO;T-7-54-PO-25
4;106IPM;236_PM_NO;E-7-53-PO-20
4;106IPM;251_PM_NO;T-20-53-PO-75
4;106IPM;153_PM_NO;E-20-53-PO-97
4;106IPM;41_PM_SP;T-18-154-NS-20
4;106IPM;5_PM_SO;T-31-254-NS-30
4;106IPM;3_PM_SO;T-31-254-NS-50
4;106IPM;42_PM_SP;E-31-12-NS-55
4;106R;2_PM_NP;E-32-254-SN-5
4;106R;4_PM_NP;T-31-254-SN-13
4;106R;6_PM_NO;T-31-254-SN-35
4;106R;267_PM_SP;T-7-53-OP-48
4;106R;268_PM_SP;T-13-54-NS-5
4;106R;536_PM_SP;T-13-54-NS-75
4;106R;539_PM_SO;E-13-54-NS-85
4;106R;537_PM_SO;T-13-103-OP-10
4;107I;395_PM_SP;T-3-13-NS-5
4;107I;396_PM_SP;T-3-13-NS-10
4;107I;128_PM_SP;T-3-433-OP-85
4;107I;355_PM_SP;T-4-16-NS-2
4;107I;460_PM_SP;T-2-9-OP-20
4;107I;360_PM_SP;T-2-9-OP-35
4;107I;246_PM_SP;E-2-9-OP-55
4;107I;380_PM_NP;T-5-38-OP-10
4;107I;8_PM_SP;E-5-38-NS-5
4;107I;210_PM_SO;T-28-89-PO-30
4;107I;521_PM_SO;T-21-89-PO-27
4;107I;522_PM_SO;T-21-89-PO-35
4;107R;511_PM_NP;T-31-89-OP-10
4;107R;512_PM_NP;T-21-89-OP-5
4;107R;211_PM_NP;T-25-89-OP-20
4;107R;514_PM_NP;T-12-89-OP-10
4;107R;252_PM_NP;T-7-52-SN-25
4;107R;479_PM_NP;T-7-52-SN-40
4;107R;351_PM_SO;T-5-38-PO-10
4;107R;247_PM_NO;E-5-38-PO-30
4;107R;461_PM_NO;T-1-1-PO-15
4;107R;354_PM_NO;T-4-16-SN-5
4;107R;488_PM_NO;T-4-16-SN-15
4;107cI;395_PM_SP;T-3-13-NS-5
4;107cI;396_PM_SP;T-3-13-NS-10
4;107cI;128_PM_SP;T-3-433-OP-85
4;107cI;355_PM_SP;T-4-16-NS-2
4;107cI;460_PM_SP;T-2-9-OP-20
4;107cI;360_PM_SP;T-2-9-OP-35
4;107cI;246_PM_SP;E-2-9-OP-55
4;107cI;380_PM_NP;T-5-38-OP-20
4;107cI;8_PM_SP;E-5-38-NS-5
4;107cR;351_PM_SO;T-5-38-PO-10
4;107cR;247_PM_NO;E-5-38-PO-30
4;107cR;461_PM_NO;T-1-1-PO-15
4;107cR;354_PM_NO;T-4-16-SN-5
4;107cR;488_PM_NO;T-4-16-SN-15
4;107cyR;354_PM_NO;T-4-16-SN-5
4;107cyR;488_PM_NO;T-4-16-SN-15
4;108I;277_PM_NP;T-13-93-PO-10
4;108I;529_PM_NP;T-13-97-SN-35
4;108I;541_PM_NO;T-13-278-PO-5
4;108I;240_PM_NO;T-13-88-PO-5
4;108I;210_PM_SO;T-28-89-PO-30
4;108I;521_PM_SO;T-21-89-PO-27
4;108I;522_PM_SO;T-21-89-PO-35
4;108R;511_PM_NP;T-31-89-OP-30
4;108R;512_PM_NP;T-21-89-OP-5
4;108R;211_PM_NP;T-25-89-OP-20
4;108R;242_PM_SP;T-12-88-NS-55
4;108R;540_PM_SP;T-13-98-OP-20
4;108R;278_PM_SP;T-13-93-OP-5
4;108R;530_PM_SO;L-13-64-15-OP
4;109I;519_PM_SO;L-5-5-5-PO
4;109I;7_PM_SO;T-5-30-PO-6
4;109I;21_PM_SO;T-8-63-NS-15
4;109I;548_PM_SO;T-20-68-NS-10
4;109I;254_PM_SO;T-20-180-NS-5
4;109I;542_PM_SP;T-7-55-OP-15
4;109I;543_PM_SP;T-12-55-NS-10
4;109I;242_PM_SP;T-12-88-NS-55
4;109I;540_PM_SP;T-13-98-OP-20
4;109R;527_PM_NO;T-13-279-PO-5
4;109R;528_PM_SO;T-13-94-PO-10
4;109R;541_PM_NO;T-13-278-PO-5
4;109R;240_PM_NO;T-13-88-PO-5
4;109R;256_PM_NP;T-20-176-SN-40
4;109R;526_PM_SP;T-8-73-OP-5
4;109R;19_PM_NP;T-5-26-SN-10
4;109R;20_PM_NP;T-5-33-OP-15
4;110I;20_PM_NP;T-5-33-OP-15
4;110I;301_PM_SO;T-11-84-NS-10
4;110I;292_PM_SO;T-10-75-NS-35
4;110I;259_PM_SO;T-13-12-NS-25
4;110I;536_PM_SP;E-13-54-NS-80
4;110I;539_PM_SO;E-13-54-NS-80
4;110R;229_PM_NP;T-13-12-SN-45
4;110R;230_PM_NP;T-13-12-SN-50
4;110R;294_PM_NP;T-10-75-SN-10
4;110R;324_PM_NP;T-11-84-SN-15
4;110R;302_PM_NP;T-11-84-SN-25
4;110R;520_PM_NO;T-5-40-SN-10
4;110R;8_PM_SP;E-5-30-PO-7
4;110cI;301_PM_SO;T-11-84-NS-10
4;110cI;292_PM_SO;T-10-75-NS-35
4;110cR;229_PM_NP;T-13-12-SN-50
4;110cR;230_PM_NP;T-13-12-SN-50
4;110cR;294_PM_NP;T-10-75-SN-10
4;110cR;324_PM_NP;T-11-84-SN-15
4;110cR;302_PM_NP;T-11-84-SN-25
4;110cR;520_PM_NO;T-5-40-SN-10
4;111I;462_PM_SO;L-9-7-65-PO
4;111I;335_PM_NP;L-9-7-40-OP
4;111I;292_PM_SO;L-10-36-5-NS
4;111I;231_PM_SO;T-10-79-OP-5
4;111I;259_PM_SO;T-13-12-NS-25
4;111I;536_PM_SP;E-13-54-NS-80
4;111I;539_PM_SO;E-13-54-NS-80
4;111I;243_PM_SP;L-13-101-30-NS
4;111I;244_PM_SP;L-13-14-55-OP
4;111I;245_PM_SP;L-13-14-50-OP
4;111I;534_PM_SP;L-13-14-25-OP
4;111R;535_PM_SP;L-13-86-15-NS
4;111R;218_PM_NO;L-13-14-40-PO
4;111R;219_PM_NP;T-13-92-SN-15
4;111R;229_PM_NP;L-13-28-5-OP
4;111R;230_PM_NP;T-13-12-SN-50
4;111R;294_PM_NP;T-10-75-SN-10
4;111R;276_PM_SO;L-9-7-10-PO
4;113I;535_PM_SP;L-13-86-15-NS
4;113I;218_PM_NO;L-13-14-40-PO
4;113I;240_PM_NO;L-13-14-5-PO
4;113I;201_PM_NO;L-28-3-14-PO
4;113I;202_PM_SO;T-20-188-SN-10
4;113RPM;168_PM_SO;E-20-53-PO-55
4;113RPM;37_PM_SP;L-28-3-30-OP
4;113RPM;26_PM_NP;L-28-3-15-OP
4;113RPM;543_PM_SP;T-12-55-NS-10
4;113RPM;242_PM_SP;T-12-88-NS-55
4;113RPM;243_PM_SP;L-13-14-105-OP
4;113RPM;244_PM_SP;L-13-14-55-OP
4;113RPM;245_PM_SP;L-13-14-50-OP
4;113RPM;534_PM_SP;L-13-14-25-OP
4;113cI;535_PM_SP;L-13-86-15-NS
4;113cI;218_PM_NO;L-13-14-40-PO
4;113cI;240_PM_NO;L-13-14-5-PO
4;113cR;543_PM_SP;T-12-55-NS-10
4;113cR;242_PM_SP;T-12-88-NS-55
4;113cR;243_PM_SP;L-13-14-105-OP
4;113cR;244_PM_SP;L-13-14-55-OP
4;113cR;245_PM_SP;L-13-14-50-OP
4;113cR;534_PM_SP;L-13-14-25-OP
4;113eI;218_PM_NO;L-13-14-40-PO
4;113eI;240_PM_NO;L-13-14-40-PO
4;113eI;200_PM_SO;L-13-14-40-PO
4;113eI;241_PM_SO;T-12-12-PO-15
4;113eI;24_PM_SO;T-12-12-PO-15
4;113eI;25_PM_NO;T-12-12-PO-15
4;114I;283_PM_SP;T-18-153-PO-18
4;114I;5_PM_SO;L-31-8-50-PO
4;114I;3_PM_SO;T-31-254-NS-50
4;114I;48_PM_SO;T-33-264-NS-65
4;114I;50_PM_SO;T-33-264-NS-80
4;114I;51_PM_SO;T-34-269-NS-15
4;114I;52_PM_SP;T-34-269-NS-20
4;114R;1_PM_NO;T-34-269-SN-10
4;114R;2_PM_NP;E-32-254-SN-5
4;114R;4_PM_NP;T-31-254-SN-13
4;114R;284_PM_NO;T-31-127-SN-30
4;115I;239_PM_NP;L-13-29-25-NS
4;115I;218_PM_NO;L-13-14-40-PO
4;115I;240_PM_NO;L-13-14-5-PO
4;115I;201_PM_NO;L-28-3-14-PO
4;115I;202_PM_SO;T-20-188-SN-10
4;115RPM;168_PM_SO;E-20-53-PO-55
4;115RPM;37_PM_SP;L-28-3-30-OP
4;115RPM;26_PM_NP;L-28-3-15-OP
4;115RPM;543_PM_SP;T-12-55-NS-10
4;115RPM;242_PM_SP;T-12-88-NS-55
4;115RPM;243_PM_SP;L-13-14-105-OP
4;115RPM;244_PM_SP;L-13-14-55-OP
4;115RPM;245_PM_SP;L-13-14-50-OP
4;116I;395_PM_SP;T-3-13-NS-5
4;116I;396_PM_SP;T-3-13-NS-10
4;116I;128_PM_SP;T-3-433-OP-85
4;116I;355_PM_SP;T-4-16-NS-2
4;116I;364_PM_SP;L-4-10-15-NS
4;116I;365_PM_NO;L-4-10-35-NS
4;116I;354_PM_NO;T-4-16-SN-5
4;116I;488_PM_NO;T-4-16-SN-15
4;117I;109_PM_NO;T-3-19-SN-10
4;117I;395_PM_SP;T-3-13-NS-5
4;117I;396_PM_SP;T-3-13-NS-10
4;117I;129_PM_SP;T-3-13-NS-20
4;117I;283_PM_SP;T-18-127-NS-15
4;117I;511_PM_NP;T-31-89-OP-20
4;117I;512_PM_NP;E-31-89-OP-35
4;117R;521_PM_SO;T-21-89-PO-27
4;117R;522_PM_SO;L-21-9-5-PO
4;117R;284_PM_NO;T-31-127-SN-30
4;117R;330_PM_NP;E-14-128-PO-35
4;117R;455_PM_NP;T-17-482-OP-5
4;117R;110_PM_SP;T-3-19-NS-40
4;117R;456_PM_NP;T-3-19-NS-50
4;117cI;109_PM_NO;T-3-19-SN-10
4;117cI;395_PM_SP;T-3-13-NS-5
4;117cI;396_PM_SP;T-3-13-NS-10
4;117cI;129_PM_SP;T-3-13-NS-20
4;117cI;330_PM_NP;E-14-128-PO-35
4;117cI;455_PM_NP;T-17-482-OP-5
4;118I;277_PM_NP;T-13-93-PO-10
4;118I;529_PM_NP;T-13-97-SN-35
4;118I;541_PM_NO;T-13-278-PO-5
4;118I;240_PM_NO;T-13-88-PO-5
4;118I;200_PM_SO;T-13-12-PO-5
4;118I;241_PM_SO;T-12-12-PO-15
4;118I;24_PM_SO;T-29-12-PO-25
4;118I;122_PM_SO;T-26-12-PO-25
4;118I;104_PM_NO;T-33-12-SN-20
4;118I;43_PM_SO;L-33-12-10-NS
4;118R;264_PM_SP;T-33-12-NS-20
4;118R;506_PM_SP;E-33-12-NS-30
4;118R;158_PM_NP;T-26-12-OP-10
4;118R;11_PM_NP;T-26-12-OP-15
4;118R;12_PM_NP;T-26-12-OP-35
4;118R;13_PM_NP;T-29-12-OP-15
4;118R;242_PM_SP;T-12-12-OP-18
4;118R;540_PM_SP;T-13-98-OP-20
4;118R;278_PM_SP;T-13-93-OP-5
4;118R;530_PM_SO;L-13-64-15-OP
4;119I;30_PM_SP;E-20-290-OP-10
4;119I;33_PM_SP;T-20-203-NS-15
4;119I;35_PM_SP;T-20-181-NS-7
4;119I;36_PM_SP;T-20-177-OP-17
4;119I;37_PM_SP;T-28-181-NS-5
4;119I;12_PM_NP;T-29-227-NS-40
4;119I;13_PM_NP;T-29-12-OP-15
4;119I;38_PM_NO;L-29-7-10-NS
4;119I;39_PM_SO;T-29-239-NS-5
4;119R;24_PM_SO;T-29-12-PO-25
4;119R;25_PM_NO;T-29-12-PO-25
4;119R;26_PM_NP;T-28-235-SN-45
4;119R;27_PM_SO;E-20-291-PO-20
4;120I;7_PM_SO;T-5-30-PO-6
4;120I;21_PM_SO;T-8-63-NS-10
4;120I;23_PM_SO;T-7-51-NS-10
4;120I;17_PM_SO;T-28-233-NS-20
4;120I;24_PM_SO;T-29-12-PO-25
4;120R;11_PM_NP;T-26-12-OP-15
4;120R;12_PM_NP;T-26-12-OP-35
4;120R;13_PM_NP;T-29-12-OP-15
4;120R;15_PM_NO;T-29-238-SN-10
4;120R;16_PM_NO;T-29-238-SN-17
4;120R;18_PM_NP;E-7-51-SN-30
4;120R;19_PM_NP;T-5-26-SN-10
4;120R;20_PM_NP;T-5-33-OP-15
4;121I;30_PM_SP;E-20-290-OP-10
4;121I;208_PM_SP;L-28-8-80-NS
4;121I;13_PM_NP;L-29-12-2-NS
4;121I;38_PM_NO;L-29-7-10-NS
4;121R;15_PM_NO;T-29-238-SN-10
4;121R;16_PM_NO;T-29-238-SN-17
4;121R;199_PM_SO;L-29-24-5-SN
4;121R;209_PM_NO;L-28-8-125-SN
4;121R;37_PM_SP;L-28-8-5-SN
4;121R;26_PM_NP;L-28-3-15-OP
4;121R;35_PM_SP;T-20-177-OP-10
4;121R;27_PM_SO;E-20-291-PO-20
4;125I;251_PM_NO;T-20-53-PO-85
4;125I;257_PM_NO;T-20-201-NS-6
4;125I;168_PM_SO;T-20-188-NS-30
4;125I;37_PM_SP;L-28-3-30-OP
4;125I;26_PM_NP;L-28-3-15-OP
4;125I;17_PM_SO;T-28-233-NS-20
4;125I;38_PM_NO;L-29-7-10-NS
4;125R;15_PM_NO;T-29-238-SN-10
4;125R;16_PM_NO;T-29-238-SN-17
4;125R;201_PM_NO;L-28-3-14-PO
4;126IPM;41_PM_SP;T-18-154-NS-20
4;126IPM;5_PM_SO;T-31-254-NS-30
4;126IPM;3_PM_SO;T-31-254-NS-50
4;126IPM;42_PM_SP;E-31-12-NS-55
4;126IPM;43_PM_SO;L-33-12-10-NS
4;126R;2_PM_NP;E-32-254-SN-5
4;126R;4_PM_NP;T-31-254-SN-13
4;126R;6_PM_NO;T-31-254-SN-35
4;201I;136_PM_SP;T-3-12-OP-75
4;201I;138_PM_SO;T-2-3-NS-38
4;201I;142_PM_SP;T-25-228-NS-30
4;201I;79_PM_SP;T-25-228-NS-55
4;201I;144_PM_SP;T-27-228-NS-25
4;201I;115_PM_NP;T-30-273-OP-5
4;201R;146_PM_SP;L-30-30-15-NS
4;201R;147_PM_NP;L-30-30-15-NS
4;201R;113_PM_NO;T-30-248-SN-28
4;201R;69_PM_NP;T-26-228-SN-10
4;201R;500_PM_NO;T-25-228-SN-30
4;201R;372_PM_NP;T-4-22-SN-15
4;201R;370_PM_NP;T-1-3-SN-38
4;201R;363_PM_NP;T-2-3-SN-25
4;201R;499_PM_SO;T-2-3-SN-70
4;201R;482_PM_NO;T-3-10-SN-3
4;201eI;165_PM_SP;T-20-188-NS-13
4;201eI;168_PM_SO;T-20-188-NS-23
4;201eI;151_PM_SO;T-30-245-PO-5
4;201eR;146_PM_SP;L-30-30-15-NS
4;201eR;147_PM_NP;L-30-30-15-NS
4;201eR;114_PM_NP;T-30-248-SN-28
4;202cI;136_PM_SP;T-3-12-OP-75
4;202cI;359_PM_SO;T-2-3-NS-10
4;202cI;31_PM_SP;E-20-174-NS-10
4;202cR;372_PM_NP;T-4-22-SN-15
4;202cR;358_PM_NP;L-2-21-20-OP
4;202cR;499_PM_SO;L-2-17-5-SN
4;202cR;482_PM_NO;T-3-10-SN-5
4;203I;108_PM_SP;T-3-19-NS-25
4;203I;110_PM_SP;T-3-19-NS-40
4;203I;491_PM_SP;T-4-19-NS-40
4;203I;379_PM_SP;T-4-19-NS-60
4;203I;353_PM_SP;T-4-19-NS-60
4;203I;251_PM_NO;E-20-199-NS-25
4;203I;95_PM_SO;T-24-205-NS-40
4;203I;68_PM_NP;L-27-21-30-OP
4;203R;78_PM_SO;L-23-45-40-PO
4;203R;86_PM_SP;T-23-226-PO-5
4;203R;74_PM_NP;T-22-205-SN-35
4;203R;75_PM_NP;T-21-205-SN-115
4;203R;28_PM_NP;T-20-190-SN-30
4;203R;109_PM_NO;T-3-19-SN-10
4;203eI;251_PM_NO;E-20-199-NS-25
4;203eI;95_PM_SO;T-24-205-NS-30
4;203eI;68_PM_NP;L-27-21-30-OP
4;203eR;78_PM_SO;L-23-45-30-PO
4;203eR;86_PM_SP;T-23-226-PO-5
4;203eR;74_PM_NP;E-22-205-SN-33
4;203eR;75_PM_NP;T-21-205-SN-115
4;203eR;27_PM_SO;T-20-190-SN-35
4;204I;153_PM_NO;E-20-205-SN-65
4;204I;154_PM_SO;E-20-205-SN-65
4;204I;155_PM_SO;T-33-267-NS-15
4;204R;57_PM_NP;L-33-61-5-OP
4;204R;58_PM_NP;T-21-211-SN-50
4;204eI;153_PM_NO;E-20-205-SN-65
4;204eI;154_PM_SO;E-20-205-SN-65
4;204eI;155_PM_SO;T-33-267-NS-15
4;204eR;57_PM_NP;T-33-265-OP-5
4;204eR;58_PM_NP;T-21-211-SN-50
4;205I;153_PM_NO;E-20-205-SN-55
4;205I;154_PM_SO;E-20-205-SN-55
4;205I;95_PM_SO;T-24-205-NS-45
4;205I;85_PM_SO;T-24-205-NS-45
4;205I;53_PM_NO;T-34-217-PO-17
4;205I;102_PM_NO;T-34-217-PO-33
4;205I;97_PM_NO;T-34-270-NS-75
4;205R;98_PM_NP;T-34-236-SN-5
4;205R;101_PM_NP;T-34-270-SN-37
4;205R;103_PM_SP;T-23-217-OP-10
4;205R;59_PM_SO;T-23-217-OP-20
4;205R;74_PM_NP;E-22-205-SN-32
4;205R;75_PM_NP;T-21-205-SN-113
4;205eI;153_PM_NO;E-20-205-SN-55
4;205eI;154_PM_SO;E-20-205-SN-55
4;205eI;95_PM_SO;T-24-205-NS-45
4;205eI;85_PM_SO;T-24-205-NS-45
4;205eI;53_PM_NO;T-34-217-PO-17
4;205eI;102_PM_NO;T-34-217-PO-25
4;205eI;97_PM_NO;T-34-270-NS-75
4;205eR;98_PM_NP;T-34-236-SN-5
4;205eR;101_PM_NP;T-34-270-SN-30
4;205eR;103_PM_SP;T-23-217-OP-10
4;205eR;59_PM_SO;T-23-217-OP-20
4;205eR;74_PM_NP;E-22-205-SN-32
4;205eR;75_PM_NP;T-21-205-SN-113
4;206I;251_PM_NO;E-20-199-NS-25
4;206I;95_PM_SO;T-24-205-NS-40
4;206I;64_PM_SP;L-23-22-10-NS
4;206R;65_PM_NO;L-23-22-15-SN
4;206R;74_PM_NP;T-22-205-SN-35
4;206R;75_PM_NP;T-21-205-SN-115
4;206R;27_PM_SO;T-20-190-SN-35
4;206cI;95_PM_SO;T-24-205-NS-40
4;206cI;64_PM_SP;L-23-22-10-NS
4;206cR;65_PM_NO;L-23-22-15-SN
4;206cR;74_PM_NP;T-22-205-SN-35
4;206cR;75_PM_NP;T-21-205-SN-115
4;207eI;32_PM_NO;T-20-194-OP-5
4;207eI;251_PM_NO;E-20-199-NS-25
4;207eI;95_PM_SO;T-24-205-NS-45
4;207eI;85_PM_SO;T-24-205-NS-45
4;207eR;157_PM_NP;T-23-205-SN-20
4;207eR;59_PM_SO;T-23-205-SN-20
4;207eR;74_PM_NP;E-22-205-SN-32
4;207eR;75_PM_NP;T-21-205-SN-113
4;207eR;28_PM_NP;T-20-190-SN-15
4;207eR;30_PM_SP;E-20-290-OP-5
4;208I;108_PM_SP;T-3-19-NS-25
4;208I;110_PM_SP;T-3-19-NS-40
4;208I;491_PM_SP;T-4-19-NS-40
4;208I;379_PM_SP;T-4-19-NS-60
4;208I;353_PM_SP;T-4-19-NS-60
4;208I;251_PM_NO;E-20-199-NS-25
4;208I;257_PM_NO;E-20-199-NS-25
4;208I;28_PM_NP;T-20-190-SN-30
4;208I;109_PM_NO;T-3-19-NS-40
4;208cI;108_PM_SP;T-3-19-NS-25
4;208cI;110_PM_SP;T-3-19-NS-40
4;208cR;109_PM_NO;T-3-19-SN-10
4;209I;153_PM_NO;E-20-205-SN-55
4;209I;154_PM_SO;E-20-205-SN-55
4;209I;95_PM_SO;T-24-205-NS-45
4;209I;85_PM_SO;T-24-205-NS-45
4;209I;420_PM_NO;L-34-40-50-PO
4;209I;467_PM_SO;L-34-45-15-NS
4;209R;471_PM_NP;T-34-488-OP-5
4;209R;421_PM_SP;L-34-45-10-SN
4;209R;157_PM_NP;T-23-205-SN-30
4;209R;59_PM_SO;T-23-205-SN-30
4;209R;74_PM_NP;E-22-205-SN-32
4;209R;75_PM_NP;T-21-205-SN-113
4;209eI;153_PM_NO;E-20-205-SN-55
4;209eI;154_PM_SO;E-20-205-SN-55
4;209eI;95_PM_SO;T-24-205-NS-45
4;209eI;85_PM_SO;T-24-205-NS-45
4;209eI;420_PM_NO;L-34-40-15-PO
4;209eI;467_PM_SO;L-34-45-15-NS
4;209eR;471_PM_NP;T-34-488-OP-5
4;209eR;421_PM_SP;L-34-45-20-SN
4;209eR;157_PM_NP;T-23-205-SN-20
4;209eR;59_PM_SO;T-23-205-SN-20
4;209eR;74_PM_NP;E-22-205-SN-32
4;209eR;75_PM_NP;T-21-205-SN-113
4;210I;222_PM_NP;T-7-48-PO-55
4;210I;251_PM_NO;T-20-53-PO-80
4;210I;153_PM_NO;T-20-53-PO-80
4;210I;509_PM_SO;T-21-134-NS-35
4;210I;515_PM_SO;T-33-134-NS-5
4;210I;97_PM_NO;T-34-270-NS-75
4;210R;98_PM_NP;T-34-236-SN-3
4;210R;516_PM_NP;T-31-134-SN-25
4;210vI;222_PM_NP;T-7-48-PO-55
4;210vI;251_PM_NO;T-20-53-PO-80
4;210vI;153_PM_NO;T-20-53-PO-80
4;210vI;509_PM_SO;T-21-134-NS-35
4;210vI;515_PM_SO;T-33-134-NS-5
4;210vI;195_PM_NO;L-33-14-30-PO
4;210vI;400_PM_SO;L-34-54-95-NS
4;210vR;401_PM_NO;L-34-66-26-SN
4;210vR;194_PM_SP;L-33-14-65-OP
4;210vR;516_PM_NP;T-31-134-SN-25
4;211I;264_PM_SP;T-33-12-NS-20
4;211I;506_PM_SP;E-33-12-NS-30
4;211I;158_PM_NP;T-26-12-OP-10
4;211I;11_PM_NP;T-26-12-OP-15
4;211I;144_PM_SP;T-27-228-NS-25
4;211I;115_PM_NP;T-30-273-OP-5
4;211I;146_PM_SP;T-30-251-PO-15
4;211I;150_PM_SP;L-30-51-56-NS
4;211I;152_PM_SP;L-30-51-115-NS
4;211R;113_PM_NO;T-30-248-SN-28
4;211R;122_PM_SO;T-26-12-PO-25
4;211R;104_PM_NO;T-33-12-SN-20
4;211cI;144_PM_SP;T-27-228-NS-25
4;211cI;115_PM_NP;T-30-273-OP-5
4;211cI;146_PM_SP;T-30-251-PO-15
4;211cR;113_PM_NO;T-30-248-SN-28
4;212IPM;41_PM_SP;T-18-154-NS-20
4;212IPM;5_PM_SO;T-31-254-NS-30
4;212IPM;3_PM_SO;T-31-254-NS-50
4;212IPM;42_PM_SP;E-31-12-NS-55
4;212IPM;511_PM_NP;T-31-89-OP-10
4;212IPM;512_PM_NP;E-31-89-OP-40
4;212IPM;95_PM_SO;T-24-205-NS-40
4;212IPM;156_PM_SP;T-23-216-OP-15
4;212IPM;61_PM_SP;L-23-36-30-NS
4;212IPM;62_PM_NP;L-23-14-35-OP
4;212R;63_PM_SO;L-23-21-55-PO
4;212R;157_PM_NP;T-23-205-SN-35
4;212R;59_PM_SO;T-23-205-SN-35
4;212R;74_PM_NP;T-22-205-SN-35
4;212R;521_PM_SO;T-21-89-PO-27
4;212R;522_PM_SO;T-21-89-PO-35
4;212R;2_PM_NP;E-31-12-SN-5
4;212R;4_PM_NP;T-31-254-SN-13
4;212R;6_PM_NO;T-31-254-SN-35
4;213eI;509_PM_SO;T-21-134-NS-35
4;213eI;515_PM_SO;T-33-134-NS-5
4;213eI;417_PM_SP;E-34-270-NS-65
4;213eR;97_PM_NO;L-34-6-35-PO
4;213eR;96_PM_NO;L-34-6-35-PO
4;213eR;98_PM_NP;L-34-6-35-PO
4;213eR;516_PM_NP;T-31-134-SN-20
4;214I;106_PM_NO;T-26-227-SN-20
4;214I;83_PM_SO;T-26-212-PO-5
4;214I;500_PM_NO;T-25-228-SN-30
4;214I;371_PM_NP;T-4-22-SN-20
4;214I;361_PM_NP;L-1-13-20-OP
4;214I;358_PM_NP;L-2-4-50-SN
4;214I;499_PM_SO;L-2-17-5-SN
4;214I;482_PM_NO;T-3-10-SN-5
4;214R;136_PM_SP;T-3-10-NS-10
4;214R;359_PM_SO;T-2-3-NS-10
4;214R;140_PM_SO;T-20-131-PO-5
4;214R;251_PM_NO;E-20-199-NS-25
4;214R;142_PM_SP;T-25-228-NS-30
4;214R;84_PM_NP;L-25-13-10-NS
4;216I;63_PM_SO;L-23-19-5-SN
4;216I;157_PM_NP;T-23-205-SN-35
4;216I;59_PM_SO;T-23-205-SN-35
4;216I;118_PM_NP;L-19-21-25-SN
4;216R;132_PM_SO;T-19-12-NS-10
4;216R;133_PM_SO;L-18-16-30-NS
4;216R;95_PM_SO;L-22-29-7-OP
4;216R;156_PM_SP;L-23-36-20-NS
